player_id,name,position,jersey_number,weight,height,country_code,id_team,picture_url,dob,age,position_desc,team_name,team_abbr
153972,Carlos Roa,0,1,,,ARG,43922,,1969-08-15,28.8,Goalkeeper,Argentina,ARG
153933,Roberto Ayala,1,2,75.0,177.0,ARG,43922,,1973-04-14,25.2,Defender,Argentina,ARG
78407,Jose Chamot,1,3,78.0,185.0,ARG,43922,,1969-05-17,29.1,Defender,Argentina,ARG
153970,Mauricio Pineda,1,4,,,ARG,43922,,1975-07-13,22.9,Defender,Argentina,ARG
153931,Matias Almeyda,2,5,72.0,174.0,ARG,43922,,1973-12-21,24.5,Midfielder,Argentina,ARG
44626,Roberto Sensini,1,6,77.0,178.0,ARG,43922,,1966-10-12,31.7,Defender,Argentina,ARG
170102,Claudio Lopez,3,7,77.0,176.0,ARG,43922,,1974-07-17,23.9,Striker,Argentina,ARG
76115,Diego Simeone,2,8,70.0,178.0,ARG,43922,,1970-04-28,28.1,Midfielder,Argentina,ARG
75952,Gabriel Batistuta,3,9,73.0,185.0,ARG,43922,,1969-02-01,29.4,Striker,Argentina,ARG
78384,Ariel Ortega,3,10,64.0,170.0,ARG,43922,,1974-03-04,24.3,Striker,Argentina,ARG
153978,Juan Veron,2,11,81.0,183.0,ARG,43922,,1975-03-09,23.3,Midfielder,Argentina,ARG
153943,German Burgos,0,12,90.0,188.0,ARG,43922,,1969-04-16,29.1,Goalkeeper,Argentina,ARG
153969,Pablo Paz,1,13,,,ARG,43922,,1973-01-27,25.4,Defender,Argentina,ARG
153979,Nelson Vivas,1,14,67.0,166.0,ARG,43922,,1969-10-18,28.6,Defender,Argentina,ARG
153932,Leonardo Astrada,2,15,,,ARG,43922,,1970-01-06,28.4,Midfielder,Argentina,ARG
153938,Sergio Berti,2,16,,,ARG,43922,,1969-02-17,29.3,Midfielder,Argentina,ARG
153951,Pablo Cavallero,0,17,78.0,188.0,ARG,43922,,1974-04-13,24.2,Goalkeeper,Argentina,ARG
174364,Abel Balbo,3,18,,,ARG,43922,,1966-06-01,32.0,Striker,Argentina,ARG
162680,Hernan Crespo,3,19,78.0,184.0,ARG,43922,,1975-07-05,22.9,Striker,Argentina,ARG
153959,Marcelo Gallardo,2,20,70.0,169.0,ARG,43922,,1976-01-18,22.4,Midfielder,Argentina,ARG
162609,Marcelo Delgado,3,21,,,ARG,43922,,1973-03-24,25.2,Striker,Argentina,ARG
153980,Javier Zanetti,1,22,75.0,178.0,ITA,43922,,1973-08-10,24.8,Defender,Argentina,ARG
174676,Michael Konsel,0,1,,,AUT,43934,,1962-03-06,36.3,Goalkeeper,Austria,AUT
154100,Markus Schopp,2,2,75.0,188.0,AUT,43934,,1974-02-22,24.3,Midfielder,Austria,AUT
44613,Peter Schoettel,1,3,,,AUT,43934,,1967-03-26,31.2,Defender,Austria,AUT
174858,Anton Pfeffer,1,4,,,AUT,43934,,1965-08-17,32.8,Defender,Austria,AUT
95462,Wolfgang Feiersinger,1,5,,,AUT,43934,,1965-01-30,33.4,Defender,Austria,AUT
95503,Walter Kogler,1,6,,,AUT,43934,,1967-12-12,30.5,Defender,Austria,AUT
168590,Mario Haas,3,7,80.0,178.0,AUT,43934,,1974-09-16,23.7,Striker,Austria,AUT
174859,Heimo Pfeifenberger,2,8,,,AUT,43934,,1966-12-29,31.4,Midfielder,Austria,AUT
154102,Ivica Vastic,3,9,78.0,183.0,AUT,43934,,1969-09-29,28.7,Striker,Austria,AUT
174602,Andreas Herzog,2,10,80.0,183.0,AUT,43934,,1968-09-10,29.7,Midfielder,Austria,AUT
159276,Martin Amerhauser,2,11,74.0,180.0,AUT,43934,,1974-07-23,23.9,Midfielder,Austria,AUT
159390,Martin Hiden,1,12,73.0,181.0,AUT,43934,,1973-03-11,25.2,Defender,Austria,AUT
95501,Harald Cerny,2,13,73.0,177.0,AUT,43934,,1973-09-13,24.7,Midfielder,Austria,AUT
95666,Hannes Reinmayr,3,14,,,AUT,43934,,1969-08-23,28.8,Striker,Austria,AUT
154103,Arnold Wetl,2,15,,,AUT,43934,,1970-02-02,28.4,Midfielder,Austria,AUT
60005,Franz Wohlfahrt,0,16,,,AUT,43934,,1964-07-01,33.9,Goalkeeper,Austria,AUT
154090,Roman Mahlich,2,17,,,AUT,43934,,1971-09-17,26.7,Midfielder,Austria,AUT
58452,Peter Stoeger,2,18,,,AUT,43934,,1966-04-11,32.2,Midfielder,Austria,AUT
174872,Toni Polster,3,19,,,AUT,43934,,1964-03-10,34.3,Striker,Austria,AUT
154081,Andreas Heraf,2,20,,175.0,AUT,43934,,1967-09-10,30.7,Midfielder,Austria,AUT
159428,Wolfgang Knaller,0,21,,,AUT,43934,,1961-10-09,36.7,Goalkeeper,Austria,AUT
167058,Dietmar Kuehbauer,2,22,72.0,172.0,AUT,43934,,1971-04-04,27.2,Midfielder,Austria,AUT
174495,Filip De Wilde,0,1,,,BEL,43935,,1964-07-05,33.9,Goalkeeper,Belgium,BEL
154168,Bertrand Crasson,1,2,,,BEL,43935,,1971-10-05,26.7,Defender,Belgium,BEL
44655,Lorenzo Staelens,1,3,,,BEL,43935,,1964-04-30,34.1,Defender,Belgium,BEL
154200,Gordan Vidovic,1,4,,,BEL,43935,,1968-06-23,30.0,Defender,Belgium,BEL
76120,Vital Borkelmans,1,5,,,BEL,43935,,1963-06-01,35.0,Defender,Belgium,BEL
44715,Franky Van Der Elst,2,6,,,BEL,43935,,1961-04-30,37.1,Midfielder,Belgium,BEL
44755,Marc Wilmots,2,7,93.0,184.0,BEL,43935,,1969-02-22,29.3,Midfielder,Belgium,BEL
76134,Luis Oliveira,3,8,,,BEL,43935,,1969-03-24,29.2,Striker,Belgium,BEL
154182,Mbo Mpenza,3,9,78.0,175.0,BEL,43935,,1976-12-04,21.5,Striker,Belgium,BEL
55176,Luc Nilis,3,10,,,BEL,43935,,1967-05-25,31.0,Striker,Belgium,BEL
154196,Nico Van Kerckhoven,2,11,82.0,190.0,BEL,43935,,1970-12-14,27.5,Midfielder,Belgium,BEL
154198,Philippe Vande Walle,0,12,,,BEL,43935,,1961-12-22,36.5,Goalkeeper,Belgium,BEL
76140,Dany Verlinden,0,13,,,BEL,43935,,1963-08-15,34.8,Goalkeeper,Belgium,BEL
44619,Enzo Scifo,2,14,,,BEL,43935,,1966-02-19,32.3,Midfielder,Belgium,BEL
