id_match,match_number,stage,group,home_team,away_team,date_utc,time_utc,local_date,local_time
4000,1,Group Matches,Group A,BRA,SCO,1998-06-10,15:30,1998-06-10,17:30
8725,2,Group Matches,Group A,MAR,NOR,1998-06-10,19:00,1998-06-10,21:00
8726,4,Group Matches,Group B,ITA,CHI,1998-06-11,15:30,1998-06-11,17:30
8727,3,Group Matches,Group B,CMR,AUT,1998-06-11,19:00,1998-06-11,21:00
8728,7,Group Matches,Group D,PAR,BUL,1998-06-12,12:30,1998-06-12,14:30
8729,5,Group Matches,Group C,KSA,DEN,1998-06-12,15:30,1998-06-12,17:30
8730,6,Group Matches,Group C,FRA,RSA,1998-06-12,19:00,1998-06-12,21:00
8731,10,Group Matches,Group D,ESP,NGA,1998-06-13,12:30,1998-06-13,14:30
8732,9,Group Matches,Group E,KOR,MEX,1998-06-13,15:30,1998-06-13,17:30
8733,8,Group Matches,Group E,NED,BEL,1998-06-13,19:00,1998-06-13,21:00
8734,13,Group Matches,Group H,ARG,JPN,1998-06-14,12:30,1998-06-14,14:30
8735,12,Group Matches,Group F,YUG,IRN,1998-06-14,15:30,1998-06-14,17:30
8736,11,Group Matches,Group H,JAM,CRO,1998-06-14,19:00,1998-06-14,21:00
8738,14,Group Matches,Group F,GER,USA,1998-06-15,19:00,1998-06-15,21:00
8739,15,Group Matches,Group G,ROU,COL,1998-06-15,15:30,1998-06-15,17:30
8740,16,Group Matches,Group G,ENG,TUN,1998-06-15,12:30,1998-06-15,14:30
8741,17,Group Matches,Group A,SCO,NOR,1998-06-16,15:30,1998-06-16,17:30
8742,18,Group Matches,Group A,BRA,MAR,1998-06-16,19:00,1998-06-16,21:00
8743,19,Group Matches,Group B,CHI,AUT,1998-06-17,15:30,1998-06-17,17:30
8744,20,Group Matches,Group B,ITA,CMR,1998-06-17,19:00,1998-06-17,21:00
8746,22,Group Matches,Group C,RSA,DEN,1998-06-18,15:30,1998-06-18,17:30
8745,21,Group Matches,Group C,FRA,KSA,1998-06-18,19:00,1998-06-18,21:00
8747,23,Group Matches,Group D,NGA,BUL,1998-06-19,15:30,1998-06-19,17:30
8748,24,Group Matches,Group D,ESP,PAR,1998-06-19,19:00,1998-06-19,21:00
8751,27,Group Matches,Group H,JPN,CRO,1998-06-20,12:30,1998-06-20,14:30
8750,26,Group Matches,Group E,BEL,MEX,1998-06-20,15:30,1998-06-20,17:30
8749,25,Group Matches,Group E,NED,KOR,1998-06-20,19:00,1998-06-20,21:00
8753,29,Group Matches,Group F,GER,YUG,1998-06-21,12:30,1998-06-21,14:30
8752,28,Group Matches,Group H,ARG,JAM,1998-06-21,15:30,1998-06-21,17:30
8754,30,Group Matches,Group F,USA,IRN,1998-06-21,19:00,1998-06-21,21:00
8756,32,Group Matches,Group G,ROU,ENG,1998-06-22,19:00,1998-06-22,21:00
8755,31,Group Matches,Group G,COL,TUN,1998-06-22,15:30,1998-06-22,17:30
8760,36,Group Matches,Group B,CHI,CMR,1998-06-23,14:00,1998-06-23,16:00
8757,33,Group Matches,Group B,ITA,AUT,1998-06-23,14:00,1998-06-23,16:00
8759,35,Group Matches,Group A,BRA,NOR,1998-06-23,19:00,1998-06-23,21:00
8758,34,Group Matches,Group A,SCO,MAR,1998-06-23,19:00,1998-06-23,21:00
8764,40,Group Matches,Group C,RSA,KSA,1998-06-24,14:00,1998-06-24,16:00
8762,38,Group Matches,Group C,FRA,DEN,1998-06-24,14:00,1998-06-24,16:00
8763,39,Group Matches,Group D,NGA,PAR,1998-06-24,19:00,1998-06-24,21:00
8761,37,Group Matches,Group D,ESP,BUL,1998-06-24,19:00,1998-06-24,21:00
8765,41,Group Matches,Group E,BEL,KOR,1998-06-25,14:00,1998-06-25,16:00
8766,42,Group Matches,Group E,NED,MEX,1998-06-25,14:00,1998-06-25,16:00
8767,43,Group Matches,Group F,GER,IRN,1998-06-25,19:00,1998-06-25,21:00
8768,44,Group Matches,Group F,USA,YUG,1998-06-25,19:00,1998-06-25,21:00
8769,45,Group Matches,Group G,ROU,TUN,1998-06-26,19:00,1998-06-26,21:00
8770,46,Group Matches,Group G,COL,ENG,1998-06-26,19:00,1998-06-26,21:00
8772,48,Group Matches,Group H,ARG,CRO,1998-06-26,14:00,1998-06-26,16:00
8771,47,Group Matches,Group H,JPN,JAM,1998-06-26,14:00,1998-06-26,16:00
8774,50,Round of 16,,ITA,NOR,1998-06-27,14:30,1998-06-27,16:30
8773,49,Round of 16,,BRA,CHI,1998-06-27,19:00,1998-06-27,21:00
8776,52,Round of 16,,FRA,PAR,1998-06-28,14:30,1998-06-28,16:30
8775,51,Round of 16,,NGA,DEN,1998-06-28,19:00,1998-06-28,21:00
8777,53,Round of 16,,GER,MEX,1998-06-29,14:30,1998-06-29,16:30
8778,54,Round of 16,,NED,YUG,1998-06-29,19:00,1998-06-29,21:00
8780,56,Round of 16,,ROU,CRO,1998-06-30,14:30,1998-06-30,16:30
8779,55,Round of 16,,ARG,ENG,1998-06-30,19:00,1998-06-30,21:00
8781,57,Quarter-final,,ITA,FRA,1998-07-03,14:30,1998-07-03,16:30
8782,58,Quarter-final,,BRA,DEN,1998-07-03,19:00,1998-07-03,21:00
8784,60,Quarter-final,,NED,ARG,1998-07-04,14:30,1998-07-04,16:30
8783,59,Quarter-final,,GER,CRO,1998-07-04,19:00,1998-07-04,21:00
8785,61,Semi-final,,BRA,NED,1998-07-07,19:00,1998-07-07,21:00
8786,62,Semi-final,,FRA,CRO,1998-07-08,19:00,1998-07-08,21:00
8787,63,Match for third place,,NED,CRO,1998-07-11,19:00,1998-07-11,21:00
8788,64,Final,,BRA,FRA,1998-07-12,19:00,1998-07-12,21:00
