id_match,match_number,stage,group,date_utc,match_status,result_type,home_team,away_team,home_name,away_name,home_score,away_score,home_penalties,away_penalties,winner,home_tactics,away_tactics,home_possession,away_possession,attendance,stadium,humidity,temperature,wind_speed,weather
300061454,1,First stage,Group A,2010-06-11,0,1,RSA,MEX,South Africa,Mexico,1,1,,,,,,,,,Soccer City Stadium,,,,
300061453,2,First stage,Group A,2010-06-11,0,1,URU,FRA,Uruguay,France,0,0,,,,,,,,,Cape Town Stadium,,,,
300061459,4,First stage,Group B,2010-06-12,0,1,KOR,GRE,Korea Republic,Greece,2,0,,,KOR,,,,,,Port Elizabeth Stadium,,,,
300061460,3,First stage,Group B,2010-06-12,0,1,ARG,NGA,Argentina,Nigeria,1,0,,,ARG,,,,,,Ellis Park Stadium,,,,
300061466,5,First stage,Group C,2010-06-12,0,1,ENG,USA,England,USA,1,1,,,,,,,,,Royal Bafokeng Sports Palace,,,,
300061465,6,First stage,Group C,2010-06-13,0,1,ALG,SVN,Algeria,Slovenia,0,1,,,SVN,,,,,,Peter Mokaba Stadium,,,,
300061471,8,First stage,Group D,2010-06-13,0,1,SRB,GHA,Serbia,Ghana,0,1,,,GHA,,,,,,Loftus Versfeld Stadium,,,,
300111116,7,First stage,Group D,2010-06-13,0,1,GER,AUS,Germany,Australia,4,0,,,GER,,,,,,Durban Stadium,,,,
300061478,9,First stage,Group E,2010-06-14,0,1,NED,DEN,Netherlands,Denmark,2,0,,,NED,,,,,,Soccer City Stadium,,,,
300061477,10,First stage,Group E,2010-06-14,0,1,JPN,CMR,Japan,Cameroon,1,0,,,JPN,,,,,,Free State Stadium,,,,
300061484,11,First stage,Group F,2010-06-14,0,1,ITA,PAR,Italy,Paraguay,1,1,,,,,,,,,Cape Town Stadium,,,,
300061483,12,First stage,Group F,2010-06-15,0,1,NZL,SVK,New Zealand,Slovakia,1,1,,,,,,,,,Royal Bafokeng Sports Palace,,,,
300061489,13,First stage,Group G,2010-06-15,0,1,CIV,POR,Côte d'Ivoire,Portugal,0,0,,,,,,,,,Port Elizabeth Stadium,,,,
300061490,14,First stage,Group G,2010-06-15,0,1,BRA,PRK,Brazil,Korea DPR,2,1,,,BRA,,,,,,Ellis Park Stadium,,,,
300061452,17,First stage,Group A,2010-06-16,0,1,RSA,URU,South Africa,Uruguay,0,3,,,URU,,,,,,Loftus Versfeld Stadium,,,,
300061495,15,First stage,Group H,2010-06-16,0,1,HON,CHI,Honduras,Chile,0,1,,,CHI,,,,,,Mbombela Stadium,,,,
300111112,16,First stage,Group H,2010-06-16,0,1,ESP,SUI,Spain,Switzerland,0,1,,,SUI,,,,,,Durban Stadium,,,,
300061458,20,First stage,Group B,2010-06-17,0,1,ARG,KOR,Argentina,Korea Republic,4,1,,,ARG,,,,,,Soccer City Stadium,,,,
300061457,19,First stage,Group B,2010-06-17,0,1,GRE,NGA,Greece,Nigeria,2,1,,,GRE,,,,,,Free State Stadium,,,,
300061451,18,First stage,Group A,2010-06-17,0,1,FRA,MEX,France,Mexico,0,2,,,MEX,,,,,,Peter Mokaba Stadium,,,,
300061470,21,First stage,Group D,2010-06-18,0,1,GER,SRB,Germany,Serbia,0,1,,,SRB,,,,,,Port Elizabeth Stadium,,,,
300061463,22,First stage,Group C,2010-06-18,0,1,SVN,USA,Slovenia,USA,2,2,,,,,,,,,Ellis Park Stadium,,,,
300061464,23,First stage,Group C,2010-06-18,0,1,ENG,ALG,England,Algeria,0,0,,,,,,,,,Cape Town Stadium,,,,
300111117,25,First stage,Group E,2010-06-19,0,1,NED,JPN,Netherlands,Japan,1,0,,,NED,,,,,,Durban Stadium,,,,
300061469,24,First stage,Group D,2010-06-19,0,1,GHA,AUS,Ghana,Australia,1,1,,,,,,,,,Royal Bafokeng Sports Palace,,,,
300061475,26,First stage,Group E,2010-06-19,0,1,CMR,DEN,Cameroon,Denmark,1,2,,,DEN,,,,,,Loftus Versfeld Stadium,,,,
300061488,29,First stage,Group G,2010-06-20,0,1,BRA,CIV,Brazil,Côte d'Ivoire,3,1,,,BRA,,,,,,Soccer City Stadium,,,,
300061481,27,First stage,Group F,2010-06-20,0,1,SVK,PAR,Slovakia,Paraguay,0,2,,,PAR,,,,,,Free State Stadium,,,,
300061482,28,First stage,Group F,2010-06-20,0,1,ITA,NZL,Italy,New Zealand,1,1,,,,,,,,,Mbombela Stadium,,,,
300061493,31,First stage,Group H,2010-06-21,0,1,CHI,SUI,Chile,Switzerland,1,0,,,CHI,,,,,,Port Elizabeth Stadium,,,,
300061494,32,First stage,Group H,2010-06-21,0,1,ESP,HON,Spain,Honduras,2,0,,,ESP,,,,,,Ellis Park Stadium,,,,
300061487,30,First stage,Group G,2010-06-21,0,1,POR,PRK,Portugal,Korea DPR,7,0,,,POR,,,,,,Cape Town Stadium,,,,
300061450,33,First stage,Group A,2010-06-22,0,1,MEX,URU,Mexico,Uruguay,0,1,,,URU,,,,,,Royal Bafokeng Sports Palace,,,,
300061449,34,First stage,Group A,2010-06-22,0,1,FRA,RSA,France,South Africa,1,2,,,RSA,,,,,,Free State Stadium,,,,
