id_match,match_number,stage,group,date_utc,match_status,result_type,home_team,away_team,home_name,away_name,home_score,away_score,home_penalties,away_penalties,winner,home_tactics,away_tactics,home_possession,away_possession,attendance,stadium,humidity,temperature,wind_speed,weather
43950001,1,Group Stage,Group A,2002-05-31,0,1,FRA,SEN,France,Senegal,0,1,,,SEN,,,,,,Seoul World Cup Stadium,,,,
43950002,2,Group Stage,Group E,2002-06-01,0,1,IRL,CMR,Republic of Ireland,Cameroon,1,1,,,,,,,,,Niigata Stadium,,,,
43950003,3,Group Stage,Group A,2002-06-01,0,1,URU,DEN,Uruguay,Denmark,1,2,,,DEN,,,,,,Munsu Football Stadium,,,,
43950004,4,Group Stage,Group E,2002-06-01,0,1,GER,KSA,Germany,Saudi Arabia,8,0,,,GER,,,,,,Sapporo Dome,,,,
43950007,7,Group Stage,Group F,2002-06-02,0,1,ARG,NGA,Argentina,Nigeria,1,0,,,ARG,,,,,,Ibaraki Kashima Stadium,,,,
43950006,6,Group Stage,Group B,2002-06-02,0,1,PAR,RSA,Paraguay,South Africa,2,2,,,,,,,,,Busan Asiad Main Stadium,,,,
43950005,5,Group Stage,Group F,2002-06-02,0,1,ENG,SWE,England,Sweden,1,1,,,,,,,,,Saitama Stadium,,,,
43950008,8,Group Stage,Group B,2002-06-02,0,1,ESP,SVN,Spain,Slovenia,3,1,,,ESP,,,,,,Gwangju World Cup Stadium,,,,
43950009,9,Group Stage,Group G,2002-06-03,0,1,CRO,MEX,Croatia,Mexico,0,1,,,MEX,,,,,,Niigata Stadium,,,,
43950010,10,Group Stage,Group C,2002-06-03,0,1,BRA,TUR,Brazil,Türkiye,2,1,,,BRA,,,,,,Munsu Football Stadium,,,,
43950011,11,Group Stage,Group G,2002-06-03,0,1,ITA,ECU,Italy,Ecuador,2,0,,,ITA,,,,,,Sapporo Dome,,,,
43950012,12,Group Stage,Group C,2002-06-04,0,1,CHN,CRC,China PR,Costa Rica,0,2,,,CRC,,,,,,Gwangju World Cup Stadium,,,,
43950013,13,Group Stage,Group H,2002-06-04,0,1,JPN,BEL,Japan,Belgium,2,2,,,,,,,,,Saitama Stadium,,,,
43950014,14,Group Stage,Group D,2002-06-04,0,1,KOR,POL,Korea Republic,Poland,2,0,,,KOR,,,,,,Busan Asiad Main Stadium,,,,
43950017,17,Group Stage,Group E,2002-06-05,0,1,GER,IRL,Germany,Republic of Ireland,1,1,,,,,,,,,Ibaraki Kashima Stadium,,,,
43950015,15,Group Stage,Group H,2002-06-05,0,1,RUS,TUN,Russia,Tunisia,2,0,,,RUS,,,,,,Kobe Wing Stadium,,,,
43950016,16,Group Stage,Group D,2002-06-05,0,1,USA,POR,USA,Portugal,3,2,,,USA,,,,,,Suwon World Cup Stadium,,,,
43950020,20,Group Stage,Group A,2002-06-06,0,1,DEN,SEN,Denmark,Senegal,1,1,,,,,,,,,Daegu World Cup Stadium,,,,
43950019,19,Group Stage,Group E,2002-06-06,0,1,CMR,KSA,Cameroon,Saudi Arabia,1,0,,,CMR,,,,,,Saitama Stadium,,,,
43950018,18,Group Stage,Group A,2002-06-06,0,1,FRA,URU,France,Uruguay,0,0,,,,,,,,,Busan Asiad Main Stadium,,,,
43950021,21,Group Stage,Group F,2002-06-07,0,1,SWE,NGA,Sweden,Nigeria,2,1,,,SWE,,,,,,Kobe Wing Stadium,,,,
43950022,22,Group Stage,Group B,2002-06-07,0,1,ESP,PAR,Spain,Paraguay,3,1,,,ESP,,,,,,Jeonju World Cup Stadium,,,,
43950023,23,Group Stage,Group F,2002-06-07,0,1,ARG,ENG,Argentina,England,0,1,,,ENG,,,,,,Sapporo Dome,,,,
43950024,24,Group Stage,Group B,2002-06-08,0,1,RSA,SVN,South Africa,Slovenia,1,0,,,RSA,,,,,,Daegu World Cup Stadium,,,,
43950025,25,Group Stage,Group G,2002-06-08,0,1,ITA,CRO,Italy,Croatia,1,2,,,CRO,,,,,,Ibaraki Kashima Stadium,,,,
43950026,26,Group Stage,Group C,2002-06-08,0,1,BRA,CHN,Brazil,China PR,4,0,,,BRA,,,,,,Jeju World Cup Stadium,,,,
43950029,29,Group Stage,Group H,2002-06-09,0,1,JPN,RUS,Japan,Russia,1,0,,,JPN,,,,,,International Stadium Yokohama,,,,
