player_id,name,position,jersey_number,weight,height,country_code,id_team,picture_url,dob,age,position_desc,team_name,team_abbr
153943,German Burgos,0,1,90.0,188.0,ARG,43922,,1969-04-16,33.1,Goalkeeper,Argentina,ARG
153933,Roberto Ayala,1,2,75.0,177.0,ARG,43922,,1973-04-14,29.1,Defender,Argentina,ARG
153977,Juan Sorin,2,3,65.0,173.0,ARG,43922,,1976-05-05,26.1,Midfielder,Argentina,ARG
3075,Mauricio Pochettino,1,4,80.0,182.0,ARG,43922,,1972-03-02,30.2,Defender,Argentina,ARG
153931,Matias Almeyda,2,5,72.0,174.0,ARG,43922,,1973-12-21,28.4,Midfielder,Argentina,ARG
3076,Walter Samuel,1,6,83.0,183.0,ARG,43922,,1978-03-23,24.2,Defender,Argentina,ARG
170102,Claudio Lopez,3,7,77.0,176.0,ARG,43922,,1974-07-17,27.9,Striker,Argentina,ARG
153980,Javier Zanetti,2,8,75.0,178.0,ITA,43922,,1973-08-10,28.8,Midfielder,Argentina,ARG
75952,Gabriel Batistuta,3,9,73.0,185.0,ARG,43922,,1969-02-01,33.3,Striker,Argentina,ARG
78384,Ariel Ortega,2,10,64.0,170.0,ARG,43922,,1974-03-04,28.2,Midfielder,Argentina,ARG
153978,Juan Veron,2,11,81.0,183.0,ARG,43922,,1975-03-09,27.2,Midfielder,Argentina,ARG
153951,Pablo Cavallero,0,12,78.0,188.0,ARG,43922,,1974-04-13,28.1,Goalkeeper,Argentina,ARG
185988,Diego Placente,1,13,72.0,176.0,ARG,43922,,1977-04-24,25.1,Defender,Argentina,ARG
76115,Diego Simeone,2,14,70.0,178.0,ARG,43922,,1970-04-28,32.1,Midfielder,Argentina,ARG
179114,Claudio Husain,2,15,75.0,177.0,ARG,43922,,1974-11-20,27.5,Midfielder,Argentina,ARG
178142,Pablo Aimar,2,16,62.0,170.0,ARG,43922,,1979-11-03,22.6,Midfielder,Argentina,ARG
170151,Gustavo Lopez,3,17,73.0,174.0,ARG,43922,,1973-04-13,29.1,Striker,Argentina,ARG
170129,Cristian Gonzalez,3,18,71.0,175.0,ARG,43922,,1974-08-04,27.8,Striker,Argentina,ARG
162680,Hernan Crespo,3,19,78.0,184.0,ARG,43922,,1975-07-05,26.9,Striker,Argentina,ARG
153959,Marcelo Gallardo,2,20,70.0,169.0,ARG,43922,,1976-01-18,26.4,Midfielder,Argentina,ARG
174454,Claudio Caniggia,3,21,68.0,172.0,ARG,43922,,1967-01-09,35.4,Striker,Argentina,ARG
78407,Jose Chamot,1,22,78.0,185.0,ARG,43922,,1969-05-17,33.0,Defender,Argentina,ARG
153940,Roberto Bonano,0,23,83.0,186.0,ARG,43922,,1970-01-24,32.3,Goalkeeper,Argentina,ARG
177687,Geert De Vlieger,0,1,83.0,186.0,BEL,43935,,1971-10-16,30.6,Goalkeeper,Belgium,BEL
154172,Eric Deflandre,1,2,83.0,179.0,BEL,43935,,1973-08-02,28.8,Defender,Belgium,BEL
90592,Glen De Boeck,1,3,78.0,190.0,BEL,43935,,1971-08-22,30.8,Defender,Belgium,BEL
95624,Eric Van Meir,1,4,89.0,186.0,BEL,43935,,1968-02-28,34.3,Defender,Belgium,BEL
154196,Nico Van Kerckhoven,1,5,82.0,190.0,BEL,43935,,1970-12-14,31.5,Defender,Belgium,BEL
182202,Timmy Simons,2,6,78.0,186.0,BEL,43935,,1976-12-11,25.5,Midfielder,Belgium,BEL
44755,Marc Wilmots,3,7,93.0,184.0,BEL,43935,,1969-02-22,33.3,Striker,Belgium,BEL
177684,Bart Goor,2,8,77.0,183.0,BEL,43935,,1973-04-09,29.1,Midfielder,Belgium,BEL
184587,Wesley Sonck,3,9,77.0,174.0,BEL,43935,,1978-08-09,23.8,Striker,Belgium,BEL
76144,Johan Walem,2,10,70.0,169.0,BEL,43935,,1972-02-01,30.3,Midfielder,Belgium,BEL
154199,Gert Verheyen,2,11,84.0,189.0,BEL,43935,,1970-09-20,31.7,Midfielder,Belgium,BEL
