id_match,match_number,stage,group,home_team,away_team,date_utc,time_utc,local_date,local_time
43950054,54,Round of 16,,BRA,BEL,2002-06-17,11:30,2002-06-17,20:30
43950055,55,Round of 16,,JPN,TUR,2002-06-18,06:30,2002-06-18,15:30
43950056,56,Round of 16,,KOR,ITA,2002-06-18,11:30,2002-06-18,20:30
43950057,57,Quarter-final,,ENG,BRA,2002-06-21,06:30,2002-06-21,15:30
43950058,58,Quarter-final,,GER,USA,2002-06-21,11:30,2002-06-21,20:30
43950059,59,Quarter-final,,ESP,KOR,2002-06-22,06:30,2002-06-22,15:30
43950060,60,Quarter-final,,SEN,TUR,2002-06-22,11:30,2002-06-22,20:30
43950061,61,Semi-final,,GER,KOR,2002-06-25,11:30,2002-06-25,20:30
43950062,62,Semi-final,,BRA,TUR,2002-06-26,11:30,2002-06-26,20:30
43950063,63,Match for third place,,KOR,TUR,2002-06-29,11:00,2002-06-29,20:00
43950064,64,Final,,GER,BRA,2002-06-30,11:00,2002-06-30,20:00
