id_match,match_number,stage,group,home_team,away_team,date_utc,time_utc,local_date,local_time
43950001,1,Group Stage,Group A,FRA,SEN,2002-05-31,11:30,2002-05-31,20:30
43950002,2,Group Stage,Group E,IRL,CMR,2002-06-01,06:30,2002-06-01,15:30
43950003,3,Group Stage,Group A,URU,DEN,2002-06-01,09:00,2002-06-01,18:00
43950004,4,Group Stage,Group E,GER,KSA,2002-06-01,11:30,2002-06-01,20:30
43950007,7,Group Stage,Group F,ARG,NGA,2002-06-02,05:30,2002-06-02,14:30
43950006,6,Group Stage,Group B,PAR,RSA,2002-06-02,07:30,2002-06-02,16:30
43950005,5,Group Stage,Group F,ENG,SWE,2002-06-02,09:30,2002-06-02,18:30
43950008,8,Group Stage,Group B,ESP,SVN,2002-06-02,11:30,2002-06-02,20:30
43950009,9,Group Stage,Group G,CRO,MEX,2002-06-03,06:30,2002-06-03,15:30
43950010,10,Group Stage,Group C,BRA,TUR,2002-06-03,09:00,2002-06-03,18:00
43950011,11,Group Stage,Group G,ITA,ECU,2002-06-03,11:30,2002-06-03,20:30
43950012,12,Group Stage,Group C,CHN,CRC,2002-06-04,06:30,2002-06-04,15:30
43950013,13,Group Stage,Group H,JPN,BEL,2002-06-04,09:00,2002-06-04,18:00
43950014,14,Group Stage,Group D,KOR,POL,2002-06-04,11:30,2002-06-04,20:30
43950017,17,Group Stage,Group E,GER,IRL,2002-06-05,11:30,2002-06-05,20:30
43950015,15,Group Stage,Group H,RUS,TUN,2002-06-05,06:30,2002-06-05,15:30
43950016,16,Group Stage,Group D,USA,POR,2002-06-05,09:00,2002-06-05,18:00
43950020,20,Group Stage,Group A,DEN,SEN,2002-06-06,06:30,2002-06-06,15:30
43950019,19,Group Stage,Group E,CMR,KSA,2002-06-06,09:00,2002-06-06,18:00
43950018,18,Group Stage,Group A,FRA,URU,2002-06-06,11:30,2002-06-06,20:30
43950021,21,Group Stage,Group F,SWE,NGA,2002-06-07,06:30,2002-06-07,15:30
43950022,22,Group Stage,Group B,ESP,PAR,2002-06-07,09:00,2002-06-07,18:00
43950023,23,Group Stage,Group F,ARG,ENG,2002-06-07,11:30,2002-06-07,20:30
43950024,24,Group Stage,Group B,RSA,SVN,2002-06-08,06:30,2002-06-08,15:30
43950025,25,Group Stage,Group G,ITA,CRO,2002-06-08,09:00,2002-06-08,18:00
43950026,26,Group Stage,Group C,BRA,CHN,2002-06-08,11:30,2002-06-08,20:30
43950029,29,Group Stage,Group H,JPN,RUS,2002-06-09,11:30,2002-06-09,20:30
43950027,27,Group Stage,Group G,MEX,ECU,2002-06-09,06:30,2002-06-09,15:30
43950028,28,Group Stage,Group C,CRC,TUR,2002-06-09,09:00,2002-06-09,18:00
43950031,31,Group Stage,Group H,TUN,BEL,2002-06-10,09:00,2002-06-10,18:00
43950032,32,Group Stage,Group D,POR,POL,2002-06-10,11:30,2002-06-10,20:30
43950030,30,Group Stage,Group D,KOR,USA,2002-06-10,06:30,2002-06-10,15:30
43950033,33,Group Stage,Group A,DEN,FRA,2002-06-11,06:30,2002-06-11,15:30
43950034,34,Group Stage,Group A,SEN,URU,2002-06-11,06:30,2002-06-11,15:30
43950036,36,Group Stage,Group E,KSA,IRL,2002-06-11,11:30,2002-06-11,20:30
43950035,35,Group Stage,Group E,CMR,GER,2002-06-11,11:30,2002-06-11,20:30
43950037,37,Group Stage,Group F,SWE,ARG,2002-06-12,06:30,2002-06-12,15:30
43950038,38,Group Stage,Group F,NGA,ENG,2002-06-12,06:30,2002-06-12,15:30
43950040,40,Group Stage,Group B,SVN,PAR,2002-06-12,11:30,2002-06-12,20:30
43950039,39,Group Stage,Group B,RSA,ESP,2002-06-12,11:30,2002-06-12,20:30
43950041,41,Group Stage,Group C,CRC,BRA,2002-06-13,06:30,2002-06-13,15:30
43950042,42,Group Stage,Group C,TUR,CHN,2002-06-13,06:30,2002-06-13,15:30
43950043,43,Group Stage,Group G,MEX,ITA,2002-06-13,11:30,2002-06-13,20:30
43950044,44,Group Stage,Group G,ECU,CRO,2002-06-13,11:30,2002-06-13,20:30
43950047,47,Group Stage,Group D,POR,KOR,2002-06-14,11:30,2002-06-14,20:30
43950048,48,Group Stage,Group D,POL,USA,2002-06-14,11:30,2002-06-14,20:30
43950046,46,Group Stage,Group H,BEL,RUS,2002-06-14,06:30,2002-06-14,15:30
43950045,45,Group Stage,Group H,TUN,JPN,2002-06-14,06:30,2002-06-14,15:30
43950049,49,Round of 16,,GER,PAR,2002-06-15,06:30,2002-06-15,15:30
43950050,50,Round of 16,,DEN,ENG,2002-06-15,11:30,2002-06-15,20:30
43950051,51,Round of 16,,SWE,SEN,2002-06-16,06:30,2002-06-16,15:30
43950052,52,Round of 16,,ESP,IRL,2002-06-16,11:30,2002-06-16,20:30
43950053,53,Round of 16,,MEX,USA,2002-06-17,06:30,2002-06-17,15:30
